YEAR,MO,DY,HR,WS50M,Location,Latitude ,Longitude 
2013,1,6,21,7.96,Marsabit ,2.3286,37.9837
2013,1,6,22,7.98,Marsabit ,2.3286,37.9837
2013,1,6,23,7.82,Marsabit ,2.3286,37.9837
2013,1,7,0,7.37,Marsabit ,2.3286,37.9837
2013,1,7,1,6.91,Marsabit ,2.3286,37.9837
2013,1,7,2,6.48,Marsabit ,2.3286,37.9837
2013,1,7,3,6.35,Marsabit ,2.3286,37.9837
2013,1,7,4,6.58,Marsabit ,2.3286,37.9837
2013,1,7,5,6.78,Marsabit ,2.3286,37.9837
2013,1,7,6,6.91,Marsabit ,2.3286,37.9837
2013,1,7,7,7.67,Marsabit ,2.3286,37.9837
2013,1,7,8,7.95,Marsabit ,2.3286,37.9837
2013,1,7,9,7.37,Marsabit ,2.3286,37.9837
2013,1,7,10,6.82,Marsabit ,2.3286,37.9837
2013,1,7,11,6.43,Marsabit ,2.3286,37.9837
2013,1,7,12,6.11,Marsabit ,2.3286,37.9837
2013,1,7,13,5.66,Marsabit ,2.3286,37.9837
2013,1,7,14,5.28,Marsabit ,2.3286,37.9837
2013,1,7,15,5.02,Marsabit ,2.3286,37.9837
2013,1,7,16,4.96,Marsabit ,2.3286,37.9837
2013,1,7,17,5.06,Marsabit ,2.3286,37.9837
2013,1,7,18,5.51,Marsabit ,2.3286,37.9837
2013,1,7,19,6.29,Marsabit ,2.3286,37.9837
2013,1,7,20,6.86,Marsabit ,2.3286,37.9837
2013,1,7,21,7.27,Marsabit ,2.3286,37.9837
2013,1,7,22,7.5,Marsabit ,2.3286,37.9837
2013,1,7,23,7.5,Marsabit ,2.3286,37.9837
2013,1,8,0,7.45,Marsabit ,2.3286,37.9837
2013,1,8,1,7.41,Marsabit ,2.3286,37.9837
2013,1,8,2,7.18,Marsabit ,2.3286,37.9837
2013,1,8,3,7.08,Marsabit ,2.3286,37.9837
2013,1,8,4,7.54,Marsabit ,2.3286,37.9837
2013,1,8,5,8.5,Marsabit ,2.3286,37.9837
2013,1,8,6,8.57,Marsabit ,2.3286,37.9837
2013,1,8,7,8.6,Marsabit ,2.3286,37.9837
2013,1,8,8,8.88,Marsabit ,2.3286,37.9837
2013,1,8,9,8.71,Marsabit ,2.3286,37.9837
2013,1,8,10,8.44,Marsabit ,2.3286,37.9837
2013,1,8,11,8.08,Marsabit ,2.3286,37.9837
2013,1,8,12,7.63,Marsabit ,2.3286,37.9837
2013,1,8,13,7.24,Marsabit ,2.3286,37.9837
2013,1,8,14,6.87,Marsabit ,2.3286,37.9837
2013,1,8,15,6.56,Marsabit ,2.3286,37.9837
2013,1,8,16,6.36,Marsabit ,2.3286,37.9837
2013,1,8,17,6.07,Marsabit ,2.3286,37.9837
2013,1,8,18,5.67,Marsabit ,2.3286,37.9837
2013,1,8,19,5.56,Marsabit ,2.3286,37.9837
2013,1,8,20,5.55,Marsabit ,2.3286,37.9837
2013,1,8,21,5.7,Marsabit ,2.3286,37.9837
2013,1,8,22,5.94,Marsabit ,2.3286,37.9837
2013,1,8,23,6.15,Marsabit ,2.3286,37.9837
2013,1,9,0,6.31,Marsabit ,2.3286,37.9837
2013,1,9,1,6.45,Marsabit ,2.3286,37.9837
2013,1,9,2,6.71,Marsabit ,2.3286,37.9837
2013,1,9,3,7.3,Marsabit ,2.3286,37.9837
2013,1,9,4,8.48,Marsabit ,2.3286,37.9837
2013,1,9,5,8.38,Marsabit ,2.3286,37.9837
2013,1,9,6,7.66,Marsabit ,2.3286,37.9837
2013,1,9,7,8.25,Marsabit ,2.3286,37.9837
2013,1,9,8,8.53,Marsabit ,2.3286,37.9837
2013,1,9,9,8.25,Marsabit ,2.3286,37.9837
2013,1,9,10,8.1,Marsabit ,2.3286,37.9837
2013,1,9,11,8.13,Marsabit ,2.3286,37.9837
2013,1,9,12,8.11,Marsabit ,2.3286,37.9837
2013,1,9,13,7.76,Marsabit ,2.3286,37.9837
2013,1,9,14,7.08,Marsabit ,2.3286,37.9837
2013,1,9,15,6.38,Marsabit ,2.3286,37.9837
2013,1,9,16,5.93,Marsabit ,2.3286,37.9837
2013,1,9,17,5.6,Marsabit ,2.3286,37.9837
2013,1,9,18,5.13,Marsabit ,2.3286,37.9837
2013,1,9,19,4.59,Marsabit ,2.3286,37.9837
2013,1,9,20,4.15,Marsabit ,2.3286,37.9837
2013,1,9,21,3.98,Marsabit ,2.3286,37.9837
2013,1,9,22,3.99,Marsabit ,2.3286,37.9837
2013,1,9,23,3.96,Marsabit ,2.3286,37.9837
2013,1,10,0,3.93,Marsabit ,2.3286,37.9837
2013,1,10,1,3.79,Marsabit ,2.3286,37.9837
2013,1,10,2,3.77,Marsabit ,2.3286,37.9837
2013,1,10,3,4.31,Marsabit ,2.3286,37.9837
2013,1,10,4,5.79,Marsabit ,2.3286,37.9837
2013,1,10,5,7.19,Marsabit ,2.3286,37.9837
2013,1,10,6,7.58,Marsabit ,2.3286,37.9837
2013,1,10,7,7.84,Marsabit ,2.3286,37.9837
2013,1,10,8,9.06,Marsabit ,2.3286,37.9837
2013,1,10,9,8.87,Marsabit ,2.3286,37.9837
2013,1,10,10,8.38,Marsabit ,2.3286,37.9837
2013,1,10,11,7.89,Marsabit ,2.3286,37.9837
2013,1,10,12,7.45,Marsabit ,2.3286,37.9837
2013,1,10,13,7.09,Marsabit ,2.3286,37.9837
2013,1,10,14,6.86,Marsabit ,2.3286,37.9837
2013,1,10,15,6.7,Marsabit ,2.3286,37.9837
2013,1,10,16,6.64,Marsabit ,2.3286,37.9837
2013,1,10,17,6.63,Marsabit ,2.3286,37.9837
2013,1,10,18,6.73,Marsabit ,2.3286,37.9837
2013,1,10,19,6.95,Marsabit ,2.3286,37.9837
2013,1,10,20,6.74,Marsabit ,2.3286,37.9837
2013,1,10,21,6.32,Marsabit ,2.3286,37.9837
2013,1,10,22,5.85,Marsabit ,2.3286,37.9837
2013,1,10,23,5.39,Marsabit ,2.3286,37.9837
2013,1,11,0,4.89,Marsabit ,2.3286,37.9837
2013,1,11,1,4.52,Marsabit ,2.3286,37.9837
2013,1,11,2,4.42,Marsabit ,2.3286,37.9837
2013,1,11,3,4.85,Marsabit ,2.3286,37.9837
2013,1,11,4,6.09,Marsabit ,2.3286,37.9837
2013,1,11,5,7.13,Marsabit ,2.3286,37.9837
2013,1,11,6,6.86,Marsabit ,2.3286,37.9837
2013,1,11,7,7.6,Marsabit ,2.3286,37.9837
2013,1,11,8,8.3,Marsabit ,2.3286,37.9837
2013,1,11,9,7.77,Marsabit ,2.3286,37.9837
2013,1,11,10,7.31,Marsabit ,2.3286,37.9837
2013,1,11,11,7.03,Marsabit ,2.3286,37.9837
2013,1,11,12,6.72,Marsabit ,2.3286,37.9837
2013,1,11,13,6.37,Marsabit ,2.3286,37.9837
2013,1,11,14,6.1,Marsabit ,2.3286,37.9837
2013,1,11,15,5.97,Marsabit ,2.3286,37.9837
2013,1,11,16,5.95,Marsabit ,2.3286,37.9837
2013,1,11,17,5.94,Marsabit ,2.3286,37.9837
2013,1,11,18,6.23,Marsabit ,2.3286,37.9837
2013,1,11,19,6.85,Marsabit ,2.3286,37.9837
2013,1,11,20,7.16,Marsabit ,2.3286,37.9837
2013,1,11,21,7.24,Marsabit ,2.3286,37.9837
